alpha_values,beta_values,attack_value
1.50361613445718,0.00681826495937443,0
1.4183744624807,-0.0234665335163139,0
1.59482984984972,-0.197410078025335,0
1.93469390760139,-0.999999138806523,0
1.36842202015395,0.0395607198789605,0
1.51020399968658,0.0283040452265282,0
1.57038604165097,0.0262950954757237,0
1.06586363154425,-0.0749644004812724,0
1.51281141267422,0.0430635800356396,0
1.67615868686023,0.012137700545424,0
1.4863828922473,-0.0311333853251431,0
0.966368517393995,-0.0647085528445033,0
1.27826872486423,-0.0323404902836731,0
1.34877199274439,0.0508124621530979,0
1.56144291444396,0.0815263479727231,0
0.945692020774663,-0.0483428298246511,0
1.27518638522689,-0.0597257253877218,0
1.60813669034621,-0.0380597081846161,0
1.57982677728617,-0.0566762933721675,0
1.08571433161744,0.13255091564456,0
1.39433107320172,0.0242585612837067,0
1.73877534701144,-0.105117994238889,0
1.28951304424413,0.0404418728226597,0
0.96633234667527,0.104431759811876,0
1.40437584027214,0.0917503269824957,0
1.43803633806905,0.0282764456229518,0
1.63812716395254,0.0226488803508953,0
1.63536032648734,0.577671289326562,0
1.47661669633344,0.0245157052075891,0
1.56578402508882,0.0446425972499473,0
1.55980774486477,-0.153179672498832,0
1.16104449734101,-0.0794686594455449,0
1.33812394297343,0.0481221458717453,0
1.53060704714982,0.0258104120595533,0
1.49273569899828,-0.0475983102766274,0
1.34693897073104,0.0215536679398629,0
1.60816321318253,0.0311175788790969,0
1.44489802353617,0.0203132907079431,0
1.55491895804044,0.00530831855895419,0
1.47755096475861,0.0339112784324294,0
1.67346936272223,-0.0713200041295459,0
1.83427094997406,-0.0319507915982036,0
1.89673089087562,0.194538275590774,0
1.50114530368105,-0.08375360221664,0
1.61112392807414,0.0481388526598829,0
1.6617606726247,0.0409018112517023,0
1.57727544286493,0.0516464880989136,0
1.47699265122494,-0.0235856643634605,0
1.57392237827373,0.0237740895761482,0
1.61073762488394,0.0170935891223889,0
1.67346920118829,-0.0318135133030301,0
1.47755085219714,0.0210232952736717,0
1.73877539329703,-0.0066834842122393,0
1.808547008784,0.0444019470747266,0
1.71599678855206,-0.0556541796822216,0
1.37959187444165,-0.0349231339311663,0
1.60952401886145,-0.0163014263211131,0
1.54123747663546,-0.0326604025159257,0
1.43501447297535,0.0803484782402919,0
1.33381061585932,-0.02232331036823,0
1.51263930175593,-0.0641850253359306,0
1.28429971546593,-0.0384207487732678,0
1.64865239693212,-0.000274255304302584,0
1.37959183710954,-0.0647070197424003,0
1.42038674974233,0.0104909067381982,0
1.66382423429429,0.00366969584289745,0
1.80408159103931,-0.0229950751186307,0
1.44489796741277,0.0139445126095057,0
1.55222895063432,0.0396112080473623,0
1.70780586032597,0.0027384822934664,0
1.61909457790027,0.0551080764303651,0
1.5247701075026,0.0135912691373499,0
1.51020394584082,0.0502490077551623,0
1.69627250625366,0.00566904073713226,0
1.7770292085177,0.0451829605103831,0
1.37959194541522,-0.0141849808987622,0
1.71416116419962,-0.0566336024697333,0
1.51739085182934,0.0100286943996479,0
1.6982746872083,0.0427341562941324,0
1.33796909594177,-0.00335569359342969,0
1.50424761705294,-0.0197139766416246,0
1.75104354080942,0.0219359393204237,0
1.64081639346504,-0.0229227113631266,0
1.26013299419054,-0.053091443190077,0
1.6109337617847,0.0751761993199505,0
1.63626239753004,0.00132811462950944,0
1.67346925031701,-0.00655177205684088,0
1.24897964806491,0.051062978568357,0
1.64081627892869,-0.0483089158107823,0
1.84250975114017,-0.0242527447424049,0
1.60954942329799,0.0256607736138112,0
1.24991070811891,-0.138135842976747,0
1.67346939410309,-0.162218606733197,0
1.71003586978401,0.033473080449107,0
1.69880050169989,-0.119448647173529,0
1.23580063642775,-0.0157225892506376,0
1.24898585488751,0.0395021768866044,0
1.47758940735333,0.043920470775026,0
1.66176288401061,-0.0311523731376463,0
1.17608498842116,-0.00794743639084061,0
1.54285704792309,0.038624870683474,0
1.58752520250379,0.065669742790601,0
1.62551294881379,0.0255116203161865,0
1.13859610986132,-0.0235939222762478,0
